date,Research,gasage_yr_bp,co2_ppmv,sig_mean_co2_ppmv
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",21.46069323,305.7053722,0.941371001
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",21.8432,305.6678685,0.635327072
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",22.20354037,308.0187419,3.176223027
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",24.68695709,304.9691568,0.634005914
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",25.25161898,304.7159147,1.723043524
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",27.16311659,306.1986243,3.817322318
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",27.49495779,303.1815383,0.941364148
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",30.2922188,301.8758604,1.16162527
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",31.3316012,304.6132073,2.214626204
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",32.12541188,303.8522213,0.671850156
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",34.21396913,301.9151507,0.63399364
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",35.60700404,300.7000887,2.449191474
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",37.48485969,301.2977262,0.633991174
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",38.71498596,299.2572775,1.723035441
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",38.90461156,297.7268154,1.723033214
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",39.28414915,298.106247,2.564582196
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",40.23523069,297.8691068,1.161616585
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",41.47609211,301.5041354,2.214622632
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",44.2258,299.6268629,0.635239131
